"Source:","E:\Kicad\ZX Spectrum 48K Issue 3\issue3.kicad_sch"
"Date:","2026-09-11T19:09:29"
"Tool:","Eeschema 10.0.4"
"Generator:","C:\Program Files\KiCad\10.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","199"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C26, C29, C30, C33, C40, C41, C42, C48, C49, C55, C56, C57, C58, C59, C60, C61, C62, C66","26","47nF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C25","1","22uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.00mm_Horizontal","","",""
"C27","1","1uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.00mm_Horizontal","","",""
"C28, C34, C47, C50, C65","5","22uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.32mm_Horizontal","","",""
"C31, C32","2","100nF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.40mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C35","1","10nF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.40mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C37, C38","2","33pF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C39","1","10nF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C43, C68, C69, C70, C71, C75","6","100nF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C44, C45","2","100uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.32mm_Horizontal","","",""
"C46","1","1uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.32mm_Horizontal","","",""
"C52, C53","2","150pF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C54","1","470pF","C","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor","","DNP"
"C63","1","47pF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C64, C67","2","100pF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C72, C73","2","16pF","C_Small","Mod:C_Axial_L3.8mm_D2.6mm_P12.70mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C74","1","4.7uF","Capacitor Electrolytic","Mod:CP_Axial_L11.0mm_D6.0mm_P20.32mm_Horizontal","","",""
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D11, D12","11","1N4148","1N4148","Mod:D_DO-35_SOD27_P12.70mm_Horizontal","","",""
"D13","1","1N4148","1N4148","Mod:D_DO-35_SOD27_P12.40mm_Horizontal","","",""
"D15","1","BA157","1N4148","Mod:D_DO-35_SOD27_P12.70mm_Horizontal","","",""
"D16","1","BZX85C5V1","D_Zener","Mod:D_DO-35_SOD27_P12.70mm_Horizontal","Zener diode","",""
"E1","1","Edge_Connector","Edge_Connector-spectrum","Mod:Edge Connector","","",""
"EAR1","1","EAR1","Barrel_Jack_1","Mod:3.5mm_socket","","",""
"IC1","1","ULA","ULA-spectrum","Mod:DIP-40_W15.24mm_Socket","","",""
"IC2","1","Z80","Z80-spectrum","Mod:DIP-40_W15.24mm_Socket","","",""
"IC3, IC4, IC25, IC26","4","LS157","74LS157-spectrum","Mod:DIP-16_W7.62mm_Socket","","",""
"IC5","1","ROM","ROM-spectrum","Mod:DIP-28_W15.24mm_Socket","","",""
"IC6, IC7, IC8, IC9, IC10, IC11, IC12, IC13","8","4116","4116-spectrum","Mod:DIP-16_W7.62mm_Socket","","",""
"IC14","1","LM1889","LM1809-spectrum","Mod:DIP-18_W7.62mm_Socket","","",""
"IC15, IC16, IC17, IC18, IC19, IC20, IC21, IC22","8","4532","4532-spectrum","Mod:DIP-16_W7.62mm_Socket","","",""
"IC23","1","LS32","74LS32","Mod:DIP-14_W7.62mm_Socket","Quad 2-input OR","",""
"IC24","1","LS00","74LS00","Mod:DIP-14_W7.62mm_Socket","quad 2-input NAND gate","",""
"J7","1","Barrel_Jack_MountingPin","Barrel_Jack_MountingPin","Mod:BarrelJack_Horizontal","","",""
"JROM1","1","JROM","Conn_02x02_Odd_Even","Mod:ROM_WireLink","Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"KB1","1","Keyboard5","Keyboard5","Mod:Keyboard5","","",""
"KB2","1","Keyboard8","Keyboard8","Mod:Keyboard8","","",""
"LS1","1","Speaker","Speaker","Mod:Speaker","Speaker","",""
"MIC1","1","MIC1","Barrel_Jack","Mod:3.5mm_socket","","",""
"OKI1","1","OKI","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"OKI-H1","1","OKI-H","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"OKI-L1","1","OKI-L","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R26, R27, R78","11","470","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R9, R10, R11, R12, R13, R14, R15, R16","8","8k2","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R17, R18, R19, R20, R21, R22, R23, R57","8","330","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R24, R73","2","1k","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R25","1","180","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R28, R29, R30, R49, R65, R66, R67, R68, R69, R72, R74, R75","12","10K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R31","1","220K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R32","1","100","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R33","1","680","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R34","1","15","R","Mod:R_Axial_DIN0516_L15.5mm_D5.0mm_P22.60mm_Horizontal","Resistor","",""
"R35","1","10K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.40mm_Horizontal","Resistor","",""
"R36","1","680","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.40mm_Horizontal","Resistor","",""
"R37","1","1K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.40mm_Horizontal","Resistor","",""
"R42, R45, R46, R47, R56, R58, R63, R76, R77","9","1K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R43","1","3K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R44","1","5K1","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R48, R51, R52","3","2K2","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R50","1","4K7","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R53","1","390R","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R54","1","100K","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R55","1","56","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R59","1","1K8","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R60","1","270R","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R61, R62, R64","3","15","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"R70, R71","2","220","R","Mod:R_Yageo_L3.6mm_D1.6mm_P12.70mm_Horizontal","Resistor","",""
"REG1","1","L7805","L7805","Mod:TO-220-3_Horizontal_TabDown","","",""
"T1","1","Transformer_1P_1S","Transformer_1P_1S","Mod:Coil","Transformer, single primary, single secondary","",""
"TI1","1","TI","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"TI-3","1","TI-3","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"TI-4","1","TI-4","Conn_01x02","Mod:Wire_Link_7.62mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"TR1, TR2, TR3, TR6","4","ZTX313","Transistor NPN_2","Mod:TO-92Flat","","",""
"TR4","1","ZTX650","Transistor NPN","Mod:TO-92Flat","","",""
"TR5","1","ZTX315","Transistor_PNP","Mod:TO-92Flat","","",""
"TR7","1","ZTX450","Transistor NPN_5","Mod:TO-92Flat","","",""
"TR8, TR9","2","BC184","Transistor NPN","Mod:TR9","","",""
"TV1","1","TV","Modulator","Mod:Modulator","","",""
"X1","1","14Mhz","Crystal","Mod:X1","Two pin crystal","",""
"X2","1","4.43Mhz","Crystal","Mod:X2","Two pin crystal","",""
